                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7472,                0.19918,                0.35584,                 4.6846,             0.00023777,             0.00023777,             0.00023777
                      2,                 1.9481,                0.25324,                0.38755,                 4.6074,             0.00046007,             0.00046007,             0.00046007
                      3,                 1.6183,                0.25997,                0.40365,                 4.5866,             0.00066666,             0.00066666,             0.00066666
                      4,                 1.4312,                0.28039,                0.40365,                 4.5611,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.2773,                0.27847,                0.40485,                  4.561,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.1689,                0.27631,                 0.4075,                 4.5578,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.0958,                0.28424,                0.40846,                 4.5426,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.0254,                0.29673,                0.41446,                 4.5387,             0.00057263,             0.00057263,             0.00057263
                      9,                0.94794,                0.30106,                0.41663,                 4.5255,             0.00054907,             0.00054907,             0.00054907
                     10,                0.89507,                0.29745,                0.41494,                 4.5295,              0.0005255,              0.0005255,              0.0005255
                     11,                0.84731,                0.29938,                 0.4099,                 4.5313,             0.00050194,             0.00050194,             0.00050194
                     12,                0.79159,                0.30682,                0.40942,                 4.5155,             0.00047838,             0.00047838,             0.00047838
                     13,                0.75223,                0.29769,                0.41302,                 4.5256,             0.00045482,             0.00045482,             0.00045482
                     14,                0.72975,                0.31067,                0.41206,                 4.5152,             0.00043126,             0.00043126,             0.00043126
                     15,                0.68506,                 0.3049,                 0.4135,                 4.5223,             0.00040769,             0.00040769,             0.00040769
                     16,                0.65385,                0.30538,                0.41254,                 4.5203,             0.00038413,             0.00038413,             0.00038413
                     17,                0.62326,                0.31307,                0.41206,                 4.5112,             0.00036057,             0.00036057,             0.00036057
                     18,                0.60635,                0.31187,                0.41446,                 4.5099,             0.00033701,             0.00033701,             0.00033701
                     19,                0.58906,                0.31091,                0.41158,                 4.5109,             0.00031345,             0.00031345,             0.00031345
                     20,                0.54461,                0.30803,                0.41206,                 4.5161,             0.00028988,             0.00028988,             0.00028988
                     21,                0.52874,                 0.3073,                0.41134,                 4.5112,             0.00026632,             0.00026632,             0.00026632
                     22,                0.51087,                0.30634,                0.41591,                 4.5134,             0.00024276,             0.00024276,             0.00024276
                     23,                 0.4987,                0.30971,                0.41302,                 4.5137,              0.0002192,              0.0002192,              0.0002192
                     24,                 0.4709,                0.31403,                0.41639,                 4.5088,             0.00019564,             0.00019564,             0.00019564
                     25,                0.45557,                0.31235,                0.41398,                 4.5111,             0.00017207,             0.00017207,             0.00017207
                     26,                0.45821,                0.31571,                0.41519,                 4.5061,             0.00014851,             0.00014851,             0.00014851
                     27,                0.42331,                0.31667,                 0.4147,                 4.5084,             0.00012495,             0.00012495,             0.00012495
                     28,                0.40977,                0.31547,                0.41374,                 4.5086,             0.00010139,             0.00010139,             0.00010139
                     29,                0.40063,                0.31547,                0.41326,                 4.5022,             7.7826e-05,             7.7826e-05,             7.7826e-05
